logFC AveExpr t P.Value adj.P.Val B gene_symbol Probe_ID
ENSG00000140465 5.04793957288283 7.30352551797639 59.9915203889318 3.38976296572011e-10 7.7900142715214e-06 8.21101835016472 CYP1A1 ENSG00000140465
ENSG00000138061 2.7621820545556 8.36249680038667 37.6461650342509 7.03634316345444e-09 8.08511011196732e-05 7.71795456811901 CYP1B1 ENSG00000138061
ENSG00000197461 1.74399569447496 7.79362850309544 22.2394496552091 2.13065929218622e-07 0.00162934713454636 6.52327402014043 PDGFA ENSG00000197461
ENSG00000115008 1.47238708275027 9.24435859663643 21.2746485820369 2.83598996483419e-07 0.00162934713454636 6.38154472513642 IL1A ENSG00000115008
ENSG00000057149 1.79386257343494 6.89301902142453 20.1681138429631 4.00023209036993e-07 0.00183133661301334 6.20168652080467 SERPINB3 ENSG00000057149
ENSG00000108602 1.63741678115013 6.79615728292965 19.6165402514507 4.78134967063228e-07 0.00183133661301334 6.10435290820508 ALDH3A1 ENSG00000108602
ENSG00000073756 2.08416840074077 6.06718825379211 17.9610082899231 8.42216522872362e-07 0.00276499684458996 5.77696703606837 PTGS2 ENSG00000073756
ENSG00000148677 -1.65751587008535 5.68522686231643 -16.7396065273371 1.32213687560955e-06 0.00379800344229788 5.49617192258968 ANKRD1 ENSG00000148677
ENSG00000204287 1.1110292957842 7.49749757809547 15.7953687533873 1.91571023759441e-06 0.00469049632097582 5.25213781229787 HLA-DRA ENSG00000204287
ENSG00000197641 1.30453371831611 7.06349532951582 15.6392052712583 2.04103229666934e-06 0.00469049632097582 5.20926844294644 SERPINB13 ENSG00000197641
ENSG00000148344 1.07190028603157 8.39922633550044 14.9489946122027 2.72086803519398e-06 0.00568438802879936 5.01054255017151 PTGES ENSG00000148344
ENSG00000256262 1.25771833401965 7.22766145322937 14.3724749005391 3.49358266411526e-06 0.0066905019336694 4.83219658383429 USP30-AS1 ENSG00000256262
ENSG00000116711 1.16178675227614 6.87544516903326 13.7124818288771 4.70683372722162e-06 0.00786233254917611 4.61292307403334 PLA2G4A ENSG00000116711
ENSG00000125538 1.01274277097779 5.98122328706182 13.6548224396382 4.83410577211614e-06 0.00786233254917611 4.59295257982206 IL1B ENSG00000125538
ENSG00000128510 -1.12852862518633 7.55524772189926 -13.3051645570279 5.69618865261798e-06 0.00786233254917611 4.46889977181325 CPA4 ENSG00000128510
ENSG00000136999 0.852122080221245 7.42389332290775 13.2947536038553 5.72444236293107e-06 0.00786233254917611 4.46512697238681 NOV ENSG00000136999
ENSG00000124575 -0.871760406760508 9.01848720404875 -13.2246177067839 5.91902914955225e-06 0.00786233254917611 4.43958879512238 HIST1H1D ENSG00000124575
ENSG00000145824 -1.55756194377583 4.60307027148377 -12.9803712028162 6.65848425871312e-06 0.00786233254917611 4.34897069386246 CXCL14 ENSG00000145824
ENSG00000169245 1.12731016275644 8.2925424809804 12.9249641031698 6.84066154118378e-06 0.00786233254917611 4.32804375212937 CXCL10 ENSG00000169245
ENSG00000141574 0.906506183674095 8.71117341935998 12.9244245852145 6.84246338207747e-06 0.00786233254917611 4.3278392961705 SECTM1 ENSG00000141574
ENSG00000120738 0.895346107608015 8.41309339767359 12.2487425000323 9.5955767149311e-06 0.0105007594517063 4.06105926052167 EGR1 ENSG00000120738
ENSG00000143556 0.830159143611148 8.61943111031992 12.0148830724 1.08306989529145e-05 0.0109711480067489 3.96350124059483 S100A7 ENSG00000143556
ENSG00000165072 -0.867863727768681 7.3966529517695 -11.9272479177112 1.13398174701537e-05 0.0109711480067489 3.92621597522473 MAMDC2 ENSG00000165072
ENSG00000184254 1.21739191196144 8.21162934939373 11.9076129265388 1.14576194317904e-05 0.0109711480067489 3.91780678634507 ALDH1A3 ENSG00000184254
ENSG00000134363 -0.873029989205 8.2486069007076 -11.5604326421723 1.379122686175e-05 0.0126385683730697 3.76569726294558 FST ENSG00000134363
ENSG00000163659 0.730822115548767 10.1018730594564 11.4938254756771 1.42988894173366e-05 0.0126385683730697 3.73575797405381 TIPARP ENSG00000163659
ENSG00000162654 0.909437291866895 8.3205412734179 11.3939879638078 1.51004924224585e-05 0.0128287453007925 3.69041357684665 GBP4 ENSG00000162654
ENSG00000199469 -1.14531900775917 2.85136725390989 -11.3110133767499 1.58060694915369e-05 0.0128287453007925 3.65229495726246 RNU1-62P ENSG00000199469
ENSG00000118503 0.696371799732937 8.48460615140004 11.2203173931107 1.66209193598737e-05 0.0128287453007925 3.61017306005514 TNFAIP3 ENSG00000118503
